id,date,salutation,title,mail,creation_date,newsletter,model,paymenttype,deliverytype,invoicepostcode,delivpostcode,voucher,advertisingdatacode,value,numberitems,gift,entry,points,shippingcosts,deliverydatepromised,deliverydatereal,weight,remitted,cancelled,used,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,reorder
1,2008-12-25,0,0,9,2008-12-25,0,2,2,0,41,NA,1,,1,1,0,1,0,0,2008-12-29,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
5,2008-06-18,2,0,12,2008-06-17,1,2,3,0,58,NA,1,,4,1,0,1,0,1,2008-06-19,2008-06-18,202,0,0,0,0,0,0,0,0,0,0,0,0,0,1,NA
8,2008-08-23,0,0,8,2008-08-23,0,2,0,0,45,NA,0,,4,1,0,1,0,0,2008-08-26,2008-08-25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
21,2008-07-02,1,0,5,2008-07-02,0,2,2,0,50,NA,1,,1,1,0,1,0,0,2008-08-01,2008-07-17,478,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
23,2008-10-21,0,0,9,2008-10-21,0,3,1,1,64,NA,0,,1,1,0,1,0,0,2008-11-04,2008-10-25,135,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
24,2008-10-09,0,0,12,2008-10-09,0,1,0,0,36,NA,0,,2,1,0,0,0,1,2008-10-13,2008-10-10,463,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
38,2008-06-26,0,0,8,2008-06-26,0,2,0,0,51,NA,1,,1,2,0,1,0,0,2008-06-27,2008-06-26,917,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA
47,2008-08-30,1,0,4,2008-08-30,0,1,1,1,24,NA,0,,4,2,0,0,0,0,2008-09-02,2008-09-02,636,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA
48,2008-07-12,0,0,9,2008-07-12,0,1,0,0,23,NA,0,,1,1,0,0,0,1,2008-07-25,2008-07-14,106,0,0,1,0,0,0,0,0,0,0,0,0,1,0,NA
49,2008-08-06,0,0,8,2008-08-06,0,2,1,1,41,NA,0,,5,1,0,1,0,0,2008-08-20,2008-08-15,260,1,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
50,2008-06-04,1,0,3,2008-06-04,0,3,1,1,30,NA,0,,2,1,0,1,0,0,2008-06-05,2008-06-05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
51,2008-08-07,2,0,12,2008-08-07,0,1,0,0,6,NA,0,,5,1,0,0,0,0,2008-08-08,2008-08-07,956,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
57,2008-06-01,1,0,0,2008-06-01,0,1,3,0,76,76,1,,4,1,0,0,0,0,2008-06-03,2008-06-02,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
58,2008-04-27,0,0,8,2008-04-27,0,1,2,0,64,NA,0,,1,1,0,0,0,0,2008-04-29,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
59,2008-12-12,2,0,8,2008-12-12,0,3,0,0,79,NA,0,,3,1,0,1,0,0,2008-12-16,2008-12-13,216,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
73,2008-04-07,1,0,9,2008-04-07,0,1,0,0,63,NA,0,,2,2,0,0,0,1,2008-04-09,2008-04-08,256,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA
76,2008-09-21,1,0,9,2008-09-21,0,3,1,1,96,NA,0,,2,1,0,1,0,0,2008-09-23,2008-09-22,1769,0,0,0,1,0,0,0,0,0,0,0,0,1,0,NA
80,2008-04-24,0,0,9,2008-04-24,0,1,0,0,36,NA,0,BT,2,1,0,0,0,1,2008-04-25,2008-04-25,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,NA
81,2008-06-03,1,0,9,2008-06-03,1,1,2,0,38,49,1,CA,3,1,0,0,0,0,2008-06-05,2008-06-06,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
82,2008-11-13,0,0,2,2008-11-13,1,3,1,1,26,NA,0,,1,1,0,1,0,0,2008-11-17,2008-11-14,526,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
83,2008-10-27,1,0,4,2008-10-27,0,2,1,1,41,NA,0,,2,1,0,1,0,0,2008-10-28,2008-10-27,781,0,0,0,0,1,0,0,0,0,0,0,0,0,0,NA
85,2008-09-24,0,0,9,2008-09-24,0,3,0,0,2,NA,0,,5,4,0,1,0,0,2008-09-26,2008-09-25,2654,0,0,0,3,0,1,0,0,0,0,0,0,0,0,NA
94,2008-05-09,0,0,4,2008-05-09,0,1,0,0,63,NA,0,,2,1,0,0,0,0,2008-05-13,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
98,2008-09-09,0,0,4,2008-09-09,0,2,2,0,44,NA,1,,1,2,0,1,0,0,2008-09-23,2008-09-11,1044,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA
107,2008-09-30,0,0,9,2008-09-30,0,1,2,0,73,NA,0,BQ,1,1,0,0,0,0,2008-10-02,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
121,2008-07-31,0,0,12,2008-07-31,0,3,0,0,99,NA,0,,3,3,0,1,0,0,2008-08-01,2008-07-31,539,0,0,0,0,0,3,0,0,0,0,0,0,0,0,NA
126,2008-12-21,0,0,9,2008-10-31,1,3,2,0,18,NA,0,,5,12,0,1,0,0,2009-01-06,2008-12-22,6732,0,0,0,4,8,0,0,0,0,0,0,0,0,0,NA
132,2008-10-18,0,0,9,2008-10-18,0,1,0,0,13,NA,0,,3,1,0,0,0,0,2008-10-21,2008-10-20,912,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
133,2008-04-24,0,0,9,2008-04-24,0,3,1,1,2,NA,0,BD,2,2,0,1,0,0,2008-04-25,2008-04-24,420,0,0,0,1,1,0,0,0,0,0,0,0,0,0,NA
151,2008-12-07,0,0,12,2008-12-07,0,1,3,0,65,NA,0,,5,2,0,0,0,0,2008-12-09,2008-12-08,400,0,0,0,2,0,0,0,1,0,0,0,0,0,0,NA
156,2008-08-25,1,0,1,2008-08-25,0,2,3,0,44,NA,0,,4,1,0,1,0,0,2008-08-26,2008-08-25,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
169,2008-11-08,1,0,3,2008-11-08,1,1,0,0,55,NA,0,AB,2,1,0,0,0,1,2008-11-21,2008-11-12,156,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
174,2008-09-14,1,0,9,2008-09-14,0,1,0,0,80,NA,0,BQ,4,5,0,0,0,0,2008-09-30,2008-10-31,1454,0,2,0,0,0,0,0,0,0,0,0,0,3,0,NA
175,2008-08-18,0,0,12,2008-08-18,0,3,2,0,14,NA,0,,2,2,0,1,0,1,2008-08-20,2008-08-19,295,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA
177,2008-06-10,2,0,8,2008-06-10,0,1,2,0,29,NA,0,,4,1,0,0,0,0,2008-06-11,2008-06-10,675,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
180,2008-11-05,1,0,8,2008-11-05,0,1,1,1,86,NA,0,BQ,4,1,0,0,0,0,2008-11-07,2008-11-06,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
186,2008-04-28,1,1,4,2008-04-28,0,2,1,1,52,NA,0,,3,1,0,1,0,0,2008-04-29,2008-04-29,519,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
189,2008-06-01,0,0,4,2008-06-01,0,1,2,0,17,NA,0,BQ,2,2,0,0,0,1,2008-06-03,2008-06-02,704,0,0,0,0,2,0,0,0,0,0,0,0,0,0,NA
195,2008-07-29,1,0,12,2008-07-29,0,1,3,0,24,NA,0,,2,1,0,0,0,0,2008-07-31,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
201,2008-07-28,0,0,5,2008-07-28,0,1,0,0,53,NA,0,BQ,3,2,0,0,0,0,2008-07-29,0000-00-00,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,NA
205,2008-07-10,0,0,8,2008-07-10,0,3,1,1,22,NA,0,,2,1,0,1,0,0,2008-07-23,2008-08-09,986,0,0,0,0,0,0,0,0,0,0,0,0,1,0,NA
212,2008-11-18,0,0,8,2008-11-18,0,1,2,0,95,NA,0,,5,16,0,0,0,0,2008-11-19,2008-11-18,7288,11,0,0,18,0,0,0,0,0,0,0,0,0,0,NA
216,2008-10-23,0,0,9,2008-10-23,1,3,1,1,95,NA,0,,5,4,0,1,0,0,2008-10-27,2008-10-24,1664,0,0,0,1,1,0,0,0,0,1,0,0,0,1,NA
232,2008-12-14,0,0,12,2008-12-14,0,1,0,0,26,NA,0,,5,4,0,0,0,0,2008-12-16,2008-12-17,2561,2,0,0,4,0,0,0,0,0,0,0,0,0,0,NA
236,2008-09-11,1,0,12,2008-09-11,0,2,0,0,40,NA,1,,1,2,0,1,0,0,2008-09-12,2008-09-11,1004,0,0,0,2,0,0,0,0,0,0,0,0,0,0,NA
254,2008-08-18,0,0,9,2008-08-18,0,1,0,0,50,NA,0,AE,3,1,0,0,0,0,2008-08-19,2008-08-19,287,0,0,1,0,0,0,0,0,0,0,0,0,0,1,NA
257,2008-05-06,0,0,11,2008-05-06,0,1,0,0,71,NA,0,,3,1,0,0,0,0,2008-05-08,2008-05-07,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
258,2008-10-14,2,0,11,2008-10-14,1,2,0,0,41,40,1,,1,4,0,1,0,0,2008-10-15,2008-10-14,1972,0,0,0,1,3,0,0,0,0,0,0,0,0,0,NA
262,2008-07-01,1,0,8,2008-07-01,0,1,2,0,37,NA,0,,4,3,0,0,0,0,2008-07-15,2008-08-13,736,0,0,0,0,0,0,0,0,0,0,0,0,3,0,NA
263,2008-07-16,0,0,4,2008-07-16,0,2,0,0,58,NA,1,,4,1,0,1,0,0,2008-07-17,2008-07-16,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,NA
276,2008-05-25,0,0,7,2008-05-25,0,1,2,0,97,NA,0,,2,1,0,0,0,0,2008-05-27,0000-00-00,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,NA
280,2008-07-19,0,0,9,2008-07-19,0,2,1,1,52,NA,0,,4,2,0,1,0,0,2008-07-22,2008-07-21,719,0,0,0,0,0,0,0,0,0,0,0,0,2,0,NA
283,2008-12-02,1,0,4,2008-12-02,0,1,2,0,61,NA,0,,3,1,0,0,0,1,2008-12-04,2008-12-03,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,NA
