"id","age","workclass","rating","education","edu","family_status","occupation","relationship","origin","gender","gain","loss","hours_weekly","country","income"
4,37," Private",339772," HS-grad",9,2," Craft-repair"," Husband",3,2,0,0,40," United-States","low"
7,26," Private",196866," HS-grad",9,3," Sales"," Not-in-family",5,1,0,0,38," United-States","low"
9,42," Private",100800," HS-grad",9,3," Craft-repair"," Not-in-family",5,2,0,0,40," United-States","low"
10,49," Private",175305," 7th-8th",4,1," Other-service"," Unmarried",5,1,0,0,40," United-States","low"
15,30," Private",447739," Doctorate",16,3," Prof-specialty"," Not-in-family",5,2,0,0,60," United-States","low"
18,45," Private",115187," Assoc-voc",11,1," Machine-op-inspct"," Own-child",5,1,0,0,40," United-States","low"
23,20," Private",223811," HS-grad",9,3," Other-service"," Own-child",5,2,0,0,23," United-States","low"
24,27," Private",180271," HS-grad",9,2," Machine-op-inspct"," Husband",5,2,0,0,43," United-States","low"
26,30," ?",186420," Bachelors",13,3," ?"," Not-in-family",5,1,0,0,40," United-States","low"
27,33," Private",295591," Preschool",1,3," Farming-fishing"," Not-in-family",5,2,0,0,40," Mexico","low"
28,42," Private",227065," Bachelors",13,3," Adm-clerical"," Not-in-family",5,2,0,0,60," United-States","low"
29,34," Private",346275," 11th",7,1," Handlers-cleaners"," Not-in-family",5,2,0,0,43," United-States","low"
30,27," Self-emp-inc",186733," HS-grad",9,3," Exec-managerial"," Not-in-family",5,2,0,0,50," United-States","low"
31,23," Private",343019," 10th",6,3," Other-service"," Not-in-family",5,1,0,0,40," United-States","low"
32,31," Private",337505," Prof-school",15,2," Prof-specialty"," Husband",2,2,0,0,40," Japan","low"
33,20," Private",182661," Some-college",10,3," Sales"," Own-child",3,2,0,0,20," United-States","low"
34,41," Private",97632," Some-college",10,1," Sales"," Not-in-family",2,1,0,0,32," United-States","low"
35,21," Private",234640," HS-grad",9,3," Exec-managerial"," Not-in-family",5,1,0,0,47," United-States","low"
36,42," Private",180096," HS-grad",9,2," Handlers-cleaners"," Husband",5,2,0,0,60," United-States","low"
37,17," Private",95799," 11th",7,3," Sales"," Own-child",5,1,0,0,18," United-States","low"
39,39," State-gov",33975," Bachelors",13,3," Prof-specialty"," Not-in-family",5,2,0,0,45," United-States","low"
41,33," Private",214635," HS-grad",9,2," Exec-managerial"," Husband",3,2,0,0,50," United-States","low"
42,34," Private",269243," Some-college",10,3," Adm-clerical"," Own-child",5,1,0,0,40," United-States","low"
43,28," Self-emp-not-inc",192838," Assoc-voc",11,2," Craft-repair"," Husband",5,2,0,0,45," United-States","low"
45,64," Private",254797," Some-college",10,2," Exec-managerial"," Husband",5,2,0,0,40," United-States","low"
46,33," Private",206051," HS-grad",9,2," Craft-repair"," Husband",5,2,0,0,40," United-States","low"
47,44," Private",187322," Bachelors",13,1," Transport-moving"," Not-in-family",5,2,0,0,40," United-States","low"
49,27," Private",372500," 5th-6th",3,2," Handlers-cleaners"," Husband",5,2,0,0,45," Mexico","low"
52,31," Private",224234," HS-grad",9,3," Transport-moving"," Own-child",3,2,0,0,40," United-States","low"
54,22," Private",222993," HS-grad",9,3," Prof-specialty"," Own-child",5,2,0,0,54," United-States","low"
57,20," Private",34568," HS-grad",9,2," Craft-repair"," Husband",5,2,3780,0,35," United-States","low"
58,46," Private",34186," HS-grad",9,2," Handlers-cleaners"," Husband",5,2,0,0,40," United-States","low"
