"id","date","salutation","title","mail","creation_date","newsletter","model","paymenttype","deliverytype","invoicepostcode","delivpostcode","voucher","advertisingdatacode","value","numberitems","gift","entry","points","shippingcosts","deliverydatepromised","deliverydatereal","weight","remitted","cancelled","used","b1","b2","b3","b4","b5","b6","b7","b8","b9","b10","b11","reorder"
2,"2008-08-01",1,0,4,"2008-08-01",0,2,2,0,45,NA,0,"",4,4,0,1,0,0,"2008-08-14","2008-08-05",1332,0,0,0,2,2,0,0,0,0,0,0,0,0,0,"yes"
3,"2008-08-03",1,0,8,"2008-08-03",0,1,0,0,33,NA,0,"AE",4,1,0,0,0,0,"2008-08-05","2008-08-04",778,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
4,"2008-08-04",0,0,2,"2008-08-04",0,3,0,0,3,NA,0,"",4,4,0,1,0,0,"2008-08-06","2008-08-05",1503,1,0,0,1,0,3,0,0,0,0,0,0,0,0,"yes"
6,"2008-10-05",0,0,0,"2008-10-05",1,1,0,0,81,NA,1,"AR",1,1,0,0,0,0,"2008-10-07","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
7,"2008-08-20",0,0,12,"2008-08-20",0,1,0,0,83,NA,0,"",4,3,0,0,0,0,"2008-08-22","2008-08-21",1060,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"no"
9,"2008-07-10",0,0,4,"2008-07-10",0,2,1,1,41,NA,0,"",2,1,0,1,0,0,"2008-07-11","2008-07-11",97,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"no"
10,"2008-07-10",2,0,2,"2008-06-23",0,1,0,0,54,NA,0,"",5,7,0,0,0,0,"2008-07-14","2008-07-11",3750,0,0,0,1,0,6,0,0,0,0,0,0,0,0,"yes"
11,"2008-07-03",0,0,9,"2008-07-03",0,2,2,0,52,NA,1,"",3,3,0,1,0,0,"2008-07-17","2008-07-07",1734,0,0,0,3,0,0,0,0,0,0,0,0,0,0,"no"
12,"2008-09-21",0,0,4,"2008-09-21",0,1,0,0,39,NA,1,"AR",1,1,0,0,0,0,"2008-09-23","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"no"
13,"2008-09-03",0,0,1,"2008-09-03",1,2,0,0,44,NA,0,"",4,3,0,1,0,0,"2008-09-05","2008-09-11",533,0,0,0,2,0,1,0,0,0,0,0,0,0,0,"no"
14,"2008-09-03",0,0,9,"2008-09-03",0,2,2,0,50,NA,1,"",1,2,0,1,0,1,"2008-09-05","2008-09-04",723,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"no"
15,"2008-05-23",0,0,4,"2008-05-23",0,3,0,0,90,NA,0,"",1,1,0,1,0,0,"2008-05-27","0000-00-00",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,"yes"
16,"2008-04-02",1,0,4,"2008-04-02",0,2,1,1,52,NA,0,"",2,3,0,1,0,0,"2008-05-02","2008-04-03",388,0,0,0,0,3,0,0,0,0,0,0,0,0,0,"no"
17,"2008-05-25",1,0,1,"2008-05-25",0,1,0,0,96,NA,0,"AB",4,1,0,0,0,0,"2008-05-27","2008-05-26",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,"no"
18,"2008-12-10",0,0,4,"2008-12-10",0,1,2,0,34,NA,0,"",2,1,0,0,0,1,"2008-12-12","2008-12-11",249,0,0,0,0,2,0,0,0,0,0,0,0,0,0,"no"
19,"2008-05-29",1,0,4,"2008-05-29",0,1,3,0,96,NA,0,"",2,1,0,0,0,1,"2008-06-02","2008-05-30",105,0,0,0,0,0,0,0,0,0,1,0,0,0,0,"no"
